lead_id,owner,source,created_at,appt_set,appt_show,qualified,proposal,closed_won,deal_size,cycle_days,tasks_overdue,last_touch_days
1,Taylor,Outbound,2025-03-12 00:00:00,0,0,0,0,0,0.0,7,2,20
2,Matt,Retail,2025-03-02 11:00:00,1,1,1,0,0,0.0,10,1,10
3,Alex,Referral,2025-03-25 16:00:00,0,0,0,0,0,0.0,18,2,3
4,Jordan,Outbound,2025-03-28 10:00:00,0,0,0,0,0,0.0,24,0,14
5,Sam,Retail,2025-03-05 10:00:00,1,1,1,1,0,0.0,13,0,14
6,Matt,Events,2025-02-03 09:00:00,0,0,0,0,0,0.0,11,1,4
7,Jordan,Outbound,2025-02-23 21:00:00,1,1,1,0,0,0.0,10,1,15
8,Matt,Outbound,2025-02-08 06:00:00,1,1,1,0,0,0.0,5,0,1
9,Sam,Retail,2025-02-26 14:00:00,1,1,1,0,0,0.0,3,1,6
10,Sam,Inbound,2025-03-15 02:00:00,0,0,0,0,0,0.0,21,0,17
11,Jordan,Retail,2025-02-03 05:00:00,1,1,1,1,1,3032.0,34,0,12
12,Alex,Referral,2025-02-15 12:00:00,1,0,0,0,0,0.0,20,0,12
13,Matt,Inbound,2025-01-05 02:00:00,1,1,0,0,0,0.0,7,0,13
14,Taylor,Outbound,2025-03-08 06:00:00,1,1,1,0,0,0.0,17,0,3
15,Sam,Retail,2025-02-14 02:00:00,1,1,1,1,0,0.0,23,1,20
16,Alex,Retail,2025-02-11 08:00:00,1,1,1,1,0,0.0,19,0,6
17,Jordan,Inbound,2025-02-17 22:00:00,1,0,0,0,0,0.0,18,0,16
18,Sam,Retail,2025-01-20 09:00:00,1,1,1,1,1,3205.0,29,0,20
19,Sam,Outbound,2025-02-23 19:00:00,0,0,0,0,0,0.0,15,1,5
20,Jordan,Inbound,2025-03-09 01:00:00,1,1,0,0,0,0.0,16,0,13
21,Alex,Outbound,2025-02-01 11:00:00,0,0,0,0,0,0.0,11,1,0
22,Sam,Retail,2025-01-12 19:00:00,1,1,1,0,0,0.0,2,3,13
23,Sam,Events,2025-02-04 19:00:00,1,1,1,0,0,0.0,22,1,9
24,Jordan,Referral,2025-01-18 20:00:00,1,1,0,0,0,0.0,6,3,1
25,Matt,Outbound,2025-02-03 15:00:00,1,1,0,0,0,0.0,24,1,14
26,Jordan,Retail,2025-02-26 09:00:00,1,1,0,0,0,0.0,23,1,20
27,Sam,Inbound,2025-01-11 04:00:00,0,0,0,0,0,0.0,2,1,1
28,Taylor,Retail,2025-03-09 06:00:00,1,0,0,0,0,0.0,19,0,18
29,Jordan,Retail,2025-01-21 05:00:00,1,1,1,1,1,3510.0,33,0,17
30,Alex,Outbound,2025-03-22 12:00:00,0,0,0,0,0,0.0,7,0,11
31,Jordan,Outbound,2025-03-07 22:00:00,1,1,1,1,0,0.0,20,1,18
32,Matt,Events,2025-01-25 12:00:00,1,1,1,0,0,0.0,4,1,6
33,Matt,Retail,2025-02-20 16:00:00,1,1,1,1,0,0.0,7,2,15
34,Sam,Retail,2025-01-10 23:00:00,1,1,1,1,0,0.0,23,0,14
35,Taylor,Inbound,2025-01-09 23:00:00,1,0,0,0,0,0.0,19,0,12
36,Taylor,Retail,2025-03-28 01:00:00,0,0,0,0,0,0.0,4,0,17
37,Jordan,Retail,2025-03-14 05:00:00,0,0,0,0,0,0.0,5,0,18
38,Matt,Inbound,2025-01-14 21:00:00,1,1,0,0,0,0.0,7,0,16
39,Taylor,Retail,2025-01-26 10:00:00,0,0,0,0,0,0.0,3,0,12
40,Jordan,Outbound,2025-01-18 18:00:00,0,0,0,0,0,0.0,6,0,20
41,Alex,Retail,2025-02-05 13:00:00,1,1,1,1,0,0.0,15,0,11
42,Taylor,Referral,2025-01-27 05:00:00,0,0,0,0,0,0.0,2,1,13
43,Sam,Outbound,2025-01-30 12:00:00,0,0,0,0,0,0.0,8,0,3
44,Sam,Retail,2025-02-17 15:00:00,0,0,0,0,0,0.0,9,1,6
45,Alex,Referral,2025-01-18 00:00:00,0,0,0,0,0,0.0,24,0,18
46,Taylor,Outbound,2025-03-21 10:00:00,1,0,0,0,0,0.0,24,0,10
47,Jordan,Retail,2025-03-07 11:00:00,1,1,1,1,0,0.0,21,0,10
48,Jordan,Retail,2025-03-10 10:00:00,1,1,1,0,0,0.0,9,1,17
49,Sam,Outbound,2025-01-16 06:00:00,1,0,0,0,0,0.0,14,0,6
50,Sam,Retail,2025-03-05 17:00:00,1,1,0,0,0,0.0,13,1,5
51,Matt,Retail,2025-03-17 06:00:00,0,0,0,0,0,0.0,21,0,0
52,Alex,Retail,2025-01-16 18:00:00,1,1,1,1,0,0.0,19,0,4
53,Alex,Outbound,2025-03-09 14:00:00,1,1,1,1,1,3609.0,15,0,10
54,Taylor,Outbound,2025-02-02 04:00:00,0,0,0,0,0,0.0,14,1,15
55,Sam,Outbound,2025-03-12 21:00:00,1,1,0,0,0,0.0,23,1,6
56,Alex,Outbound,2025-02-13 01:00:00,1,1,0,0,0,0.0,19,0,9
57,Sam,Inbound,2025-03-14 04:00:00,0,0,0,0,0,0.0,18,1,4
58,Sam,Inbound,2025-01-14 06:00:00,1,1,0,0,0,0.0,17,1,17
59,Alex,Retail,2025-02-05 00:00:00,1,1,1,1,1,3646.0,41,0,11
60,Jordan,Retail,2025-01-25 14:00:00,1,1,0,0,0,0.0,15,0,3
61,Taylor,Outbound,2025-01-23 08:00:00,0,0,0,0,0,0.0,10,0,12
62,Jordan,Inbound,2025-01-28 17:00:00,1,1,0,0,0,0.0,16,1,7
63,Matt,Inbound,2025-02-04 10:00:00,1,1,1,1,0,0.0,7,1,18
64,Sam,Outbound,2025-01-12 10:00:00,1,0,0,0,0,0.0,20,1,5
65,Jordan,Inbound,2025-03-05 15:00:00,1,1,1,0,0,0.0,15,2,18
66,Jordan,Inbound,2025-02-19 12:00:00,0,0,0,0,0,0.0,18,2,14
67,Sam,Inbound,2025-03-16 15:00:00,1,1,1,1,0,0.0,7,1,2
68,Taylor,Retail,2025-03-05 10:00:00,0,0,0,0,0,0.0,20,1,15
69,Alex,Retail,2025-01-14 09:00:00,1,1,0,0,0,0.0,20,1,15
70,Jordan,Retail,2025-01-07 07:00:00,1,1,1,1,0,0.0,5,1,9
71,Matt,Retail,2025-02-08 01:00:00,0,0,0,0,0,0.0,10,1,3
72,Sam,Retail,2025-02-13 07:00:00,1,0,0,0,0,0.0,17,1,10
73,Jordan,Referral,2025-01-22 14:00:00,1,0,0,0,0,0.0,22,0,12
74,Alex,Retail,2025-03-12 09:00:00,0,0,0,0,0,0.0,18,0,2
75,Sam,Retail,2025-02-22 08:00:00,1,0,0,0,0,0.0,12,1,7
76,Jordan,Retail,2025-03-09 07:00:00,1,0,0,0,0,0.0,8,1,14
77,Jordan,Retail,2025-01-10 19:00:00,0,0,0,0,0,0.0,22,1,11
78,Jordan,Outbound,2025-03-15 08:00:00,1,1,1,1,0,0.0,22,0,20
79,Alex,Inbound,2025-01-19 13:00:00,1,1,1,1,0,0.0,22,0,4
80,Matt,Outbound,2025-02-10 08:00:00,1,1,1,0,0,0.0,9,0,16
81,Taylor,Outbound,2025-02-09 13:00:00,1,1,1,1,0,0.0,12,0,8
82,Matt,Retail,2025-03-15 20:00:00,1,1,1,1,0,0.0,7,0,4
83,Alex,Outbound,2025-01-25 21:00:00,0,0,0,0,0,0.0,23,0,19
84,Sam,Retail,2025-01-22 16:00:00,1,1,1,1,0,0.0,21,1,13
85,Matt,Retail,2025-01-31 13:00:00,0,0,0,0,0,0.0,5,1,11
86,Sam,Retail,2025-02-02 11:00:00,1,1,0,0,0,0.0,7,0,6
87,Sam,Outbound,2025-01-17 08:00:00,1,1,1,0,0,0.0,14,0,18
88,Sam,Inbound,2025-01-16 20:00:00,1,1,1,1,0,0.0,11,0,0
89,Alex,Retail,2025-01-21 19:00:00,0,0,0,0,0,0.0,12,0,2
90,Matt,Inbound,2025-02-12 01:00:00,1,0,0,0,0,0.0,10,2,3
91,Taylor,Retail,2025-01-31 21:00:00,1,0,0,0,0,0.0,17,0,13
92,Alex,Outbound,2025-02-05 06:00:00,0,0,0,0,0,0.0,22,0,2
93,Taylor,Retail,2025-03-06 17:00:00,0,0,0,0,0,0.0,23,1,16
94,Matt,Retail,2025-01-22 16:00:00,1,0,0,0,0,0.0,12,0,4
95,Matt,Retail,2025-03-23 21:00:00,0,0,0,0,0,0.0,21,0,14
96,Sam,Inbound,2025-03-09 15:00:00,1,1,1,1,0,0.0,17,0,16
97,Taylor,Retail,2025-01-16 17:00:00,1,1,1,0,0,0.0,6,1,18
98,Taylor,Retail,2025-01-29 05:00:00,1,1,1,1,0,0.0,20,0,6
99,Sam,Retail,2025-01-17 12:00:00,1,1,1,0,0,0.0,10,2,1
100,Alex,Events,2025-01-25 13:00:00,1,1,0,0,0,0.0,16,0,15
101,Taylor,Referral,2025-02-02 21:00:00,0,0,0,0,0,0.0,18,1,9
102,Sam,Outbound,2025-01-12 18:00:00,1,1,1,1,0,0.0,23,0,19
103,Matt,Retail,2025-01-02 07:00:00,0,0,0,0,0,0.0,23,0,3
104,Matt,Events,2025-02-09 11:00:00,0,0,0,0,0,0.0,20,0,12
105,Taylor,Outbound,2025-03-05 02:00:00,0,0,0,0,0,0.0,13,3,2
106,Alex,Outbound,2025-01-28 06:00:00,0,0,0,0,0,0.0,11,1,10
107,Sam,Retail,2025-03-19 10:00:00,0,0,0,0,0,0.0,12,1,0
108,Matt,Retail,2025-02-03 05:00:00,0,0,0,0,0,0.0,23,0,15
109,Alex,Retail,2025-03-23 01:00:00,1,1,0,0,0,0.0,6,0,12
110,Alex,Referral,2025-01-22 05:00:00,1,0,0,0,0,0.0,14,0,2
111,Alex,Inbound,2025-02-18 12:00:00,1,1,1,1,0,0.0,17,0,10
112,Sam,Retail,2025-03-10 16:00:00,1,1,0,0,0,0.0,2,0,8
113,Taylor,Retail,2025-01-06 07:00:00,1,1,0,0,0,0.0,16,1,14
114,Taylor,Inbound,2025-03-25 16:00:00,0,0,0,0,0,0.0,7,0,10
115,Sam,Retail,2025-02-02 20:00:00,1,1,0,0,0,0.0,8,0,9
116,Alex,Referral,2025-02-14 19:00:00,0,0,0,0,0,0.0,16,0,17
117,Taylor,Outbound,2025-02-26 13:00:00,1,1,1,1,0,0.0,2,1,10
118,Jordan,Outbound,2025-02-27 20:00:00,1,1,0,0,0,0.0,5,0,17
119,Jordan,Retail,2025-01-03 03:00:00,1,1,1,1,1,4580.0,29,0,18
120,Sam,Inbound,2025-03-20 01:00:00,1,1,1,1,0,0.0,15,1,17
121,Sam,Inbound,2025-02-26 02:00:00,1,1,0,0,0,0.0,4,0,20
122,Taylor,Inbound,2025-03-31 21:00:00,1,1,0,0,0,0.0,10,0,14
123,Jordan,Retail,2025-02-12 10:00:00,1,1,0,0,0,0.0,9,2,11
124,Sam,Retail,2025-02-25 05:00:00,1,1,1,1,0,0.0,14,0,11
125,Sam,Retail,2025-02-09 16:00:00,1,1,0,0,0,0.0,8,0,4
126,Alex,Inbound,2025-03-22 01:00:00,1,1,1,1,0,0.0,2,0,17
127,Alex,Retail,2025-03-16 21:00:00,1,1,1,1,0,0.0,14,4,14
128,Sam,Retail,2025-03-23 18:00:00,1,1,1,1,0,0.0,21,1,18
129,Matt,Retail,2025-02-15 09:00:00,1,1,0,0,0,0.0,15,0,14
130,Alex,Inbound,2025-03-13 05:00:00,1,0,0,0,0,0.0,10,1,10
