lead_id,owner,source,created_at,appt_set,appt_show,qualified,proposal,closed_won,deal_size,cycle_days,tasks_overdue
1,Matt,Outbound,2025-03-12 00:00:00,0,0,0,0,0,0.0,7,2
2,Sam,Referral,2025-03-02 11:00:00,1,1,1,0,0,0.0,10,1
3,Sam,Referral,2025-03-25 16:00:00,0,0,0,0,0,0.0,18,2
4,Jordan,Inbound,2025-03-28 10:00:00,0,0,0,0,0,0.0,24,0
5,Jordan,Inbound,2025-03-05 10:00:00,1,1,1,1,0,0.0,13,0
6,Taylor,Outbound,2025-02-03 09:00:00,0,0,0,0,0,0.0,11,1
7,Matt,Retail,2025-02-23 21:00:00,1,1,1,0,0,0.0,10,1
8,Sam,Referral,2025-02-08 06:00:00,1,1,1,0,0,0.0,5,0
9,Alex,Inbound,2025-02-26 14:00:00,1,1,1,0,0,0.0,3,1
10,Matt,Retail,2025-03-15 02:00:00,0,0,0,0,0,0.0,21,0
11,Jordan,Retail,2025-02-03 05:00:00,1,1,1,1,1,3032.0,34,0
12,Taylor,Referral,2025-02-15 12:00:00,1,0,0,0,0,0.0,20,0
13,Sam,Retail,2025-01-05 02:00:00,1,1,0,0,0,0.0,7,0
14,Sam,Retail,2025-03-08 06:00:00,1,1,1,0,0,0.0,17,0
15,Sam,Retail,2025-02-14 02:00:00,1,1,1,1,0,0.0,23,1
16,Sam,Retail,2025-02-11 08:00:00,1,1,1,1,0,0.0,19,0
17,Jordan,Retail,2025-02-17 22:00:00,1,0,0,0,0,0.0,18,0
18,Matt,Outbound,2025-01-20 09:00:00,1,1,1,1,1,3205.0,29,0
19,Taylor,Retail,2025-02-23 19:00:00,0,0,0,0,0,0.0,15,1
20,Jordan,Outbound,2025-03-09 01:00:00,1,1,0,0,0,0.0,16,0
21,Jordan,Referral,2025-02-01 11:00:00,0,0,0,0,0,0.0,11,1
22,Alex,Retail,2025-01-12 19:00:00,1,1,1,0,0,0.0,2,3
23,Matt,Retail,2025-02-04 19:00:00,1,1,1,0,0,0.0,22,1
24,Taylor,Inbound,2025-01-18 20:00:00,1,1,0,0,0,0.0,6,3
25,Sam,Retail,2025-02-03 15:00:00,1,1,0,0,0,0.0,24,1
26,Sam,Retail,2025-02-26 09:00:00,1,1,0,0,0,0.0,23,1
27,Jordan,Events,2025-01-11 04:00:00,0,0,0,0,0,0.0,2,1
28,Taylor,Events,2025-03-09 06:00:00,1,0,0,0,0,0.0,19,0
29,Jordan,Outbound,2025-01-21 05:00:00,1,1,1,1,1,3510.0,33,0
30,Jordan,Retail,2025-03-22 12:00:00,0,0,0,0,0,0.0,7,0
31,Jordan,Outbound,2025-03-07 22:00:00,1,1,1,1,0,0.0,20,1
32,Alex,Outbound,2025-01-25 12:00:00,1,1,1,0,0,0.0,4,1
33,Matt,Retail,2025-02-20 16:00:00,1,1,1,1,0,0.0,7,2
34,Jordan,Inbound,2025-01-10 23:00:00,1,1,1,1,0,0.0,23,0
35,Taylor,Retail,2025-01-09 23:00:00,1,0,0,0,0,0.0,19,0
36,Matt,Retail,2025-03-28 01:00:00,0,0,0,0,0,0.0,4,0
37,Taylor,Inbound,2025-03-14 05:00:00,0,0,0,0,0,0.0,5,0
38,Taylor,Retail,2025-01-14 21:00:00,1,1,0,0,0,0.0,7,0
39,Alex,Retail,2025-01-26 10:00:00,0,0,0,0,0,0.0,3,0
40,Sam,Referral,2025-01-18 18:00:00,0,0,0,0,0,0.0,6,0
41,Matt,Events,2025-02-05 13:00:00,1,1,1,1,0,0.0,15,0
42,Sam,Inbound,2025-01-27 05:00:00,0,0,0,0,0,0.0,2,1
43,Sam,Referral,2025-01-30 12:00:00,0,0,0,0,0,0.0,8,0
44,Alex,Events,2025-02-17 15:00:00,0,0,0,0,0,0.0,9,1
45,Matt,Retail,2025-01-18 00:00:00,0,0,0,0,0,0.0,24,0
46,Taylor,Retail,2025-03-21 10:00:00,1,0,0,0,0,0.0,24,0
47,Jordan,Retail,2025-03-07 11:00:00,1,1,1,1,0,0.0,21,0
48,Taylor,Retail,2025-03-10 10:00:00,1,1,1,0,0,0.0,9,1
49,Sam,Outbound,2025-01-16 06:00:00,1,0,0,0,0,0.0,14,0
50,Sam,Retail,2025-03-05 17:00:00,1,1,0,0,0,0.0,13,1
51,Sam,Inbound,2025-03-17 06:00:00,0,0,0,0,0,0.0,21,0
52,Matt,Retail,2025-01-16 18:00:00,1,1,1,1,0,0.0,19,0
53,Alex,Retail,2025-03-09 14:00:00,1,1,1,1,1,3609.0,15,0
54,Jordan,Referral,2025-02-02 04:00:00,0,0,0,0,0,0.0,14,1
55,Jordan,Retail,2025-03-12 21:00:00,1,1,0,0,0,0.0,23,1
56,Matt,Retail,2025-02-13 01:00:00,1,1,0,0,0,0.0,19,0
57,Jordan,Retail,2025-03-14 04:00:00,0,0,0,0,0,0.0,18,1
58,Matt,Inbound,2025-01-14 06:00:00,1,1,0,0,0,0.0,17,1
59,Sam,Inbound,2025-02-05 00:00:00,1,1,1,1,1,3646.0,41,0
60,Sam,Inbound,2025-01-25 14:00:00,1,1,0,0,0,0.0,15,0
61,Taylor,Retail,2025-01-23 08:00:00,0,0,0,0,0,0.0,10,0
62,Sam,Retail,2025-01-28 17:00:00,1,1,0,0,0,0.0,16,1
63,Alex,Referral,2025-02-04 10:00:00,1,1,1,1,0,0.0,7,1
64,Taylor,Inbound,2025-01-12 10:00:00,1,0,0,0,0,0.0,20,1
65,Jordan,Inbound,2025-03-05 15:00:00,1,1,1,0,0,0.0,15,2
66,Alex,Outbound,2025-02-19 12:00:00,0,0,0,0,0,0.0,18,2
67,Taylor,Outbound,2025-03-16 15:00:00,1,1,1,1,0,0.0,7,1
68,Alex,Retail,2025-03-05 10:00:00,0,0,0,0,0,0.0,20,1
69,Matt,Retail,2025-01-14 09:00:00,1,1,0,0,0,0.0,20,1
70,Jordan,Inbound,2025-01-07 07:00:00,1,1,1,1,0,0.0,5,1
71,Sam,Retail,2025-02-08 01:00:00,0,0,0,0,0,0.0,10,1
72,Matt,Referral,2025-02-13 07:00:00,1,0,0,0,0,0.0,17,1
73,Jordan,Inbound,2025-01-22 14:00:00,1,0,0,0,0,0.0,22,0
74,Matt,Outbound,2025-03-12 09:00:00,0,0,0,0,0,0.0,18,0
75,Sam,Referral,2025-02-22 08:00:00,1,0,0,0,0,0.0,12,1
76,Jordan,Inbound,2025-03-09 07:00:00,1,0,0,0,0,0.0,8,1
77,Alex,Referral,2025-01-10 19:00:00,0,0,0,0,0,0.0,22,1
78,Alex,Inbound,2025-03-15 08:00:00,1,1,1,1,0,0.0,22,0
79,Jordan,Referral,2025-01-19 13:00:00,1,1,1,1,0,0.0,22,0
80,Sam,Retail,2025-02-10 08:00:00,1,1,1,0,0,0.0,9,0
81,Taylor,Inbound,2025-02-09 13:00:00,1,1,1,1,0,0.0,12,0
82,Jordan,Inbound,2025-03-15 20:00:00,1,1,1,1,0,0.0,7,0
83,Matt,Retail,2025-01-25 21:00:00,0,0,0,0,0,0.0,23,0
84,Taylor,Retail,2025-01-22 16:00:00,1,1,1,1,0,0.0,21,1
85,Sam,Referral,2025-01-31 13:00:00,0,0,0,0,0,0.0,5,1
86,Sam,Inbound,2025-02-02 11:00:00,1,1,0,0,0,0.0,7,0
87,Matt,Retail,2025-01-17 08:00:00,1,1,1,0,0,0.0,14,0
88,Alex,Retail,2025-01-16 20:00:00,1,1,1,1,0,0.0,11,0
89,Sam,Retail,2025-01-21 19:00:00,0,0,0,0,0,0.0,12,0
90,Taylor,Retail,2025-02-12 01:00:00,1,0,0,0,0,0.0,10,2
91,Jordan,Referral,2025-01-31 21:00:00,1,0,0,0,0,0.0,17,0
92,Taylor,Retail,2025-02-05 06:00:00,0,0,0,0,0,0.0,22,0
93,Taylor,Retail,2025-03-06 17:00:00,0,0,0,0,0,0.0,23,1
94,Alex,Inbound,2025-01-22 16:00:00,1,0,0,0,0,0.0,12,0
95,Taylor,Retail,2025-03-23 21:00:00,0,0,0,0,0,0.0,21,0
96,Alex,Retail,2025-03-09 15:00:00,1,1,1,1,0,0.0,17,0
97,Alex,Outbound,2025-01-16 17:00:00,1,1,1,0,0,0.0,6,1
98,Sam,Inbound,2025-01-29 05:00:00,1,1,1,1,0,0.0,20,0
99,Sam,Events,2025-01-17 12:00:00,1,1,1,0,0,0.0,10,2
100,Matt,Inbound,2025-01-25 13:00:00,1,1,0,0,0,0.0,16,0
101,Taylor,Inbound,2025-02-02 21:00:00,0,0,0,0,0,0.0,18,1
102,Matt,Outbound,2025-01-12 18:00:00,1,1,1,1,0,0.0,23,0
103,Taylor,Referral,2025-01-02 07:00:00,0,0,0,0,0,0.0,23,0
104,Matt,Outbound,2025-02-09 11:00:00,0,0,0,0,0,0.0,20,0
105,Sam,Events,2025-03-05 02:00:00,0,0,0,0,0,0.0,13,3
106,Sam,Outbound,2025-01-28 06:00:00,0,0,0,0,0,0.0,11,1
107,Sam,Referral,2025-03-19 10:00:00,0,0,0,0,0,0.0,12,1
108,Sam,Retail,2025-02-03 05:00:00,0,0,0,0,0,0.0,23,0
109,Jordan,Outbound,2025-03-23 01:00:00,1,1,0,0,0,0.0,6,0
110,Sam,Retail,2025-01-22 05:00:00,1,0,0,0,0,0.0,14,0
111,Alex,Inbound,2025-02-18 12:00:00,1,1,1,1,0,0.0,17,0
112,Sam,Outbound,2025-03-10 16:00:00,1,1,0,0,0,0.0,2,0
113,Jordan,Events,2025-01-06 07:00:00,1,1,0,0,0,0.0,16,1
114,Jordan,Events,2025-03-25 16:00:00,0,0,0,0,0,0.0,7,0
115,Jordan,Retail,2025-02-02 20:00:00,1,1,0,0,0,0.0,8,0
116,Jordan,Outbound,2025-02-14 19:00:00,0,0,0,0,0,0.0,16,0
117,Matt,Outbound,2025-02-26 13:00:00,1,1,1,1,0,0.0,2,1
118,Matt,Retail,2025-02-27 20:00:00,1,1,0,0,0,0.0,5,0
119,Alex,Retail,2025-01-03 03:00:00,1,1,1,1,1,4580.0,29,0
